Status,ID,Application_order,Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_credited,Curricular_units_approved,Curricular_units_enrolled,Curricular_units_evaluations,Curricular_units_without_evaluations,Curricular_units_grade,Marital_status,Application_mode,Course,Daytime_evening_attendance,Previous_qualification,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder
Dropout,0,5,122.0,127.3,20,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,01,Service Workers and Sellers,Unskilled Workers,0,1,1,0
Graduate,1,1,160.0,142.5,19,0,12,12,12,0,13.833333333333332,Single,International,Agriculture and Environtment,1,02,02,03,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,0,1,0
Dropout,2,5,122.0,124.8,19,0,0,12,0,0,0.0,Single,General Continent,Design and Creativity,1,02,01,01,Unskilled Workers,Unskilled Workers,0,0,1,0
Graduate,3,2,122.0,119.6,20,0,11,12,18,0,12.914285714285715,Single,General Continent,Social Services and Management,1,02,01,01,Service Workers and Sellers,Intermediate Level Technicians and Professions,0,1,0,0
Graduate,4,1,100.0,141.5,45,0,11,12,15,0,12.666666666666668,In Relationship,Other,Social Services and Management,0,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,5,1,133.1,114.8,50,0,10,10,27,5,11.678571428571429,In Relationship,Other,Social Services and Management,0,01,01,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",1,1,1,0
Graduate,6,1,142.0,128.4,18,0,15,15,17,0,13.822500000000002,Single,General Continent,Health and Care,1,02,02,01,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,0,1,0,1
Dropout,7,4,119.0,113.1,22,0,0,10,10,0,0.0,Single,General Continent,Agriculture and Environtment,1,02,01,01,Unskilled Workers,Unskilled Workers,0,0,1,0
Graduate,8,3,137.0,129.3,21,0,12,12,15,0,14.008928571428571,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,1
Dropout,9,1,138.0,123.0,18,0,7,12,23,0,12.45,Single,General Continent,Social Services and Management,1,02,02,02,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,0,0
Graduate,10,1,139.0,130.6,18,0,11,12,13,0,13.266666666666666,Single,General Continent,Social Services and Management,1,02,01,02,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,11,1,136.0,119.3,18,0,14,16,16,0,13.214285714285714,Single,General Continent,Health and Care,1,02,02,01,Unskilled Workers,Unskilled Workers,0,1,0,1
Dropout,12,2,133.0,130.2,19,0,0,12,6,0,0.0,Single,General Continent,Basic Education,1,02,02,01,Administrative Staff,Unskilled Workers,0,1,0,0
Graduate,13,1,110.0,111.8,21,0,11,12,15,0,10.785714285714285,Single,Other,Agriculture and Environtment,1,04,02,02,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,14,1,149.0,137.1,18,0,9,10,12,0,12.625,Single,General Continent,Health and Care,1,02,01,01,Service Workers and Sellers,Service Workers and Sellers,0,1,0,1
Dropout,15,1,127.0,120.7,20,0,5,12,13,0,6.6,Single,General Continent,Social Services and Management,1,02,02,01,Unskilled Workers,Intermediate Level Technicians and Professions,0,1,0,0
Enrolled,16,1,137.0,137.4,18,0,3,12,24,0,11.5,Single,General Continent,Social Services and Management,1,02,02,01,Service Workers and Sellers,Installation and Machine Operators and Assembly Workers,0,1,0,0
Graduate,17,2,135.0,127.3,18,0,15,15,16,0,13.925625,Single,General Continent,Health and Care,1,02,02,02,Service Workers and Sellers,Administrative Staff,0,1,0,0
Graduate,18,1,137.0,136.3,20,0,8,10,16,3,12.375,Single,General Continent,Agriculture and Environtment,1,02,03,02,Intermediate Level Technicians and Professions,Service Workers and Sellers,0,1,0,0
Enrolled,19,1,140.0,124.6,18,0,12,14,15,0,12.583333333333332,Single,General Continent,Basic Education,1,02,02,02,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,20,3,122.0,120.3,21,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,02,Unskilled Workers,Installation and Machine Operators and Assembly Workers,0,1,0,1
Enrolled,21,4,127.0,121.8,20,0,15,15,23,0,11.43125,Single,General Continent,Health and Care,1,02,02,01,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,22,4,142.0,125.5,18,0,14,16,24,0,12.857142857142858,Single,General Continent,Health and Care,1,02,02,02,Professionals and Specialists,Professionals and Specialists,0,1,0,0
Graduate,23,4,125.0,114.9,19,0,12,12,15,0,12.830357142857142,Single,General Continent,Social Services and Management,1,02,02,01,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,24,1,126.0,123.9,19,0,13,15,17,0,13.70547619047619,Single,General Continent,Health and Care,1,02,02,02,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Enrolled,25,1,151.0,157.0,18,0,9,12,20,0,11.3,Single,General Continent,Social Services and Management,1,02,02,01,Unskilled Workers,Unskilled Workers,1,1,0,1
Graduate,26,2,115.0,116.4,21,0,12,12,18,0,12.330357142857142,Single,General Continent,Social Services and Management,1,02,02,01,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,0,1,0,0
